start_region,dest_region,interconnect_cost_mw,interconnect_annuity_mw,line_loss_frac,start_id,dest_id,mw-km_per_mw,start_intraregion_cost_mw,dest_intraregion_cost_mw,start_intraregion_loss_frac,dest_intraregion_loss_frac,start_mw-km_per_mw,dest_mw-km_per_mw,total_interconnect_cost_mw,total_line_loss_frac,total_mw-km_per_mw,total_interconnect_annuity_mw,dollar_year
RMRG,NWPP,1334895.916,64661.05695,0.112778981,203837,201052,9079.341185,,454190.6838,,0.01910129,,256.3931816,1789086.6,0.131880271,9335.734367,86661.61094,2018
RMRG,SRSG,907891.7917,43977.3934,0.074797116,202112,300626,1312.230104,,259107.8086,,0.048315992,,139.7088924,1166999.6,0.123113108,1451.938996,56528.32307,2018
BASN,NWPP,983433.4701,47636.55867,0.070276603,200995,201924,1232.923015,805461.7588,454190.6838,0.048746394,0.01910129,654.3658364,256.3931816,2243085.913,0.138124286,2143.682033,108652.8951,2018
BASN,CANO,791955.8976,38361.5717,0.050718373,304274,300863,889.7960313,805461.7588,231981.5121,0.048746394,0.023930373,654.3658364,69.22284509,1829399.169,0.123395139,1613.384713,88614.31247,2018
BASN,CASO,481357.8921,23316.50708,0.026680153,303308,304274,358.1228894,805461.7588,131965.6052,0.048746394,0.013933935,654.3658364,40.32667448,1418785.256,0.089360482,1052.8154,68724.57481,2018
BASN,SRSG,557144.7827,26987.55018,0.030009418,305611,310051,402.8109665,805461.7588,259107.8086,0.048746394,0.048315992,654.3658364,139.7088924,1621714.35,0.127071803,1196.885695,78554.26231,2018
NWPP,CANO,851548.3088,41248.17001,0.055688715,201104,304459,976.9950391,454190.6838,231981.5121,0.01910129,0.023930373,256.3931816,69.22284509,1537720.505,0.098720378,1302.611066,74485.68232,2018
NWPP,CASO,1200647.618,58158.20027,0.08789409,201104,303308,1542.001659,454190.6838,131965.6052,0.01910129,0.013933935,256.3931816,40.32667448,1786803.907,0.120929316,1838.721515,86551.03954,2018
CANO,CASO,745165.3995,36095.08558,0.03242998,310199,300863,568.9470055,231981.5121,131965.6052,0.023930373,0.013933935,69.22284509,40.32667448,1109112.517,0.070294288,678.4965251,53724.32918,2018
CASO,SRSG,596893.3346,28912.93129,0.027952367,302032,305000,490.392442,131965.6052,259107.8086,0.013933935,0.048315992,40.32667448,139.7088924,987966.7484,0.090202294,670.4280089,47856.14625,2018
NWPP,SPPN,1612274.135,78096.98751,0.149427935,200995,131640,2621.542946,454190.6838,,0.01910129,,256.3931816,,2066464.819,0.168529226,2877.936127,100097.5415,2018
RMRG,SPPN,631159.6162,30572.75657,0.04449257,131737,203734,780.5713742,,,,,,,631159.6162,0.04449257,780.5713742,30572.75657,2018
RMRG,SPPC,707365.1126,34264.07653,0.053387736,202112,118173,936.6269837,,,,,,,707365.1126,0.053387736,936.6269837,34264.07653,2018
SRSG,TRE,883202.8712,42781.48616,0.075794289,300626,304964,1329.72453,259107.8086,271718.0809,0.048315992,0.021446432,139.7088924,222.8032491,1414028.761,0.145556713,1692.236672,68494.17481,2018
